variant_id,classification,reason,evidence
w_60_40,INSUFFICIENT_INPUTS,"cannot re-backtest arbitrary leg weighting: frozen outputs lack the historical per-(month,ticker) scored panel with forward 63d returns; only a single approximate cross-section is available.",cross-section only; no backtested return metrics
w_40_60,INSUFFICIENT_INPUTS,"cannot re-backtest arbitrary leg weighting: frozen outputs lack the historical per-(month,ticker) scored panel with forward 63d returns; only a single approximate cross-section is available.",cross-section only; no backtested return metrics
w_70_30,INSUFFICIENT_INPUTS,"cannot re-backtest arbitrary leg weighting: frozen outputs lack the historical per-(month,ticker) scored panel with forward 63d returns; only a single approximate cross-section is available.",cross-section only; no backtested return metrics
w_30_70,INSUFFICIENT_INPUTS,"cannot re-backtest arbitrary leg weighting: frozen outputs lack the historical per-(month,ticker) scored panel with forward 63d returns; only a single approximate cross-section is available.",cross-section only; no backtested return metrics
w_fcf_only_100_0,REJECT_UNSTABLE,OOS frac-positive 0.375 < min_oos_window_frac gate 0.6,net25=0.00542 ic_t=2.535 oos=0.375 top_sector=0.4995
w_accruals_only_0_100,REJECT_CONCENTRATION,top-sector share 0.6316 > max_sector_share gate 0.6,net25=0.0053 ic_t=3.075 oos=0.688 top_sector=0.6316
zcap_abs_3_0,INSUFFICIENT_INPUTS,"tail-capping / winsorizing only changes returns if applied across the full history; the frozen outputs expose only the latest cross-section, so the return effect cannot be measured.",cross-section only; no backtested return metrics
zcap_abs_2_5,INSUFFICIENT_INPUTS,"tail-capping / winsorizing only changes returns if applied across the full history; the frozen outputs expose only the latest cross-section, so the return effect cannot be measured.",cross-section only; no backtested return metrics
winsorize_score,INSUFFICIENT_INPUTS,"tail-capping / winsorizing only changes returns if applied across the full history; the frozen outputs expose only the latest cross-section, so the return effect cannot be measured.",cross-section only; no backtested return metrics
liq_p50_stricter,INSUFFICIENT_INPUTS,"book reshape is computable, but the net-of-cost alpha effect cannot be shown from a single cross-section.",cross-section only; no backtested return metrics
sector_cap_20_stricter,INSUFFICIENT_INPUTS,"book reshape is computable, but the net-of-cost alpha effect cannot be shown from a single cross-section.",cross-section only; no backtested return metrics
