mandatory_family,critical,status,subscription_requirement,env_var
broad_earnings_surprise,True,ACCESS_VERIFIED,INCLUDED_IN_CURRENT_PLAN,FMP_API_KEY
earnings_calendar,True,ACCESS_VERIFIED,INCLUDED_IN_CURRENT_PLAN,FMP_API_KEY
analyst_estimates,True,ACCESS_VERIFIED,INCLUDED_IN_CURRENT_PLAN,FMP_API_KEY
analyst_recommendations,True,ACCESS_VERIFIED,INCLUDED_IN_CURRENT_PLAN,FMP_API_KEY
analyst_price_targets,True,ACCESS_VERIFIED,INCLUDED_IN_CURRENT_PLAN,FMP_API_KEY
ratings_or_grades,True,ACCESS_VERIFIED,INCLUDED_IN_CURRENT_PLAN,FMP_API_KEY
key_metrics,False,SUBSCRIPTION_ENTITLEMENT_BLOCK,UPGRADE_REQUIRED,FMP_API_KEY
ratios,False,SUBSCRIPTION_ENTITLEMENT_BLOCK,UPGRADE_REQUIRED,FMP_API_KEY
fundamentals_statements,False,ACCESS_VERIFIED,INCLUDED_IN_CURRENT_PLAN,FMP_API_KEY
company_profile,False,ACCESS_VERIFIED,INCLUDED_IN_CURRENT_PLAN,FMP_API_KEY
