file,clean,keyed_url_marker,key_value_present
before_after_sector_exposure.csv,True,none,False
before_after_unknown_sector_exposure.csv,True,none,False
long_short_book_change_report.csv,True,none,False
phase10f_owned_sector_mapping_repair.json,True,none,False
phase10g_next_plan.json,True,none,False
rank_movement_report.csv,True,none,False
repaired_book_risk_flags.csv,True,none,False
repaired_sector_mapping.csv,True,none,False
reranked_paper_review_candidate_list.csv,True,none,False
reranked_paper_review_long_short_book.csv,True,none,False
secret_safety_audit.csv,True,none,False
sector_mapping_source_audit.csv,True,none,False
sector_neutral_score_rebuild_audit.csv,True,none,False
unknown_sector_repair_attempts.csv,True,none,False
unrepaired_unknown_sector_names.csv,True,none,False
