endpoint_name,alpha_family,endpoint_status,backfill_priority,required_for_phase5e2,access_assumption,live_access_result,notes
company_profile,universe_mapping,stable_confirmed,1,False,stable_confirmed: current /stable API path known; assume entitled but verify on the first live call.,success,Current-as-of snapshot (no history) - NOT point-in-time membership; use only for caveated static sector mapping.
income_statement_quarterly,fundamentals,stable_confirmed,2,True,stable_confirmed: current /stable API path known; assume entitled but verify on the first live call.,success,"Use fillingDate/acceptedDate (filing availability), NEVER the fiscal period 'date'; as-of join latest filing on/before scoring date."
balance_sheet_statement_quarterly,fundamentals,stable_confirmed,3,True,stable_confirmed: current /stable API path known; assume entitled but verify on the first live call.,success,"Use fillingDate/acceptedDate (filing availability), never fiscal period 'date'; as-of join."
cash_flow_statement_quarterly,fundamentals,stable_confirmed,4,True,stable_confirmed: current /stable API path known; assume entitled but verify on the first live call.,success,Use fillingDate/acceptedDate; never fiscal period 'date'; as-of join.
key_metrics_quarterly,fundamentals,stable_confirmed,5,True,stable_confirmed: current /stable API path known; assume entitled but verify on the first live call.,error,Period 'date' only (no filing date on this endpoint) - must be lagged to the corresponding statement filing availability before joining.
ratios_quarterly,fundamentals,stable_confirmed,6,True,stable_confirmed: current /stable API path known; assume entitled but verify on the first live call.,error,Period 'date' only - lag to the statement filing availability before joining (same caveat as key_metrics).
earnings_calendar,earnings,needs_live_verification,7,True,needs_live_verification: stable endpoint name NOT certain; entitlement unknown - probe live and record 200/empty/403/404 before relying on it.,planned,Announcement 'date' is the availability date; as-of join the latest announced event on/before the scoring date. STABLE ENDPOINT NAME (/stable/earnings) not yet confirmed live on this plan.
earnings_surprises,earnings,needs_live_verification,8,True,needs_live_verification: stable endpoint name NOT certain; entitlement unknown - probe live and record 200/empty/403/404 before relying on it.,planned,Reporting 'date' is availability; as-of join; flag restatements. In the stable API surprises appear to be folded into /stable/earnings (actual vs estimated EPS) - endpoint shape NOT yet confirmed live.
analyst_estimates,analyst_revisions,needs_live_verification,9,True,needs_live_verification: stable endpoint name NOT certain; entitlement unknown - probe live and record 200/empty/403/404 before relying on it.,planned,Snapshot consensus per 'date'; true revision PIT needs successive snapshots (capture publication date; do not back-date a current consensus onto past scoring dates). STABLE NAME/period not yet confirmed live.
analyst_recommendations,analyst_revisions,needs_live_verification,10,True,needs_live_verification: stable endpoint name NOT certain; entitlement unknown - probe live and record 200/empty/403/404 before relying on it.,planned,Each grade carries its 'date'; as-of join the latest grade on/before the scoring date. Stable equivalent (/stable/grades or /stable/grades-consensus) NOT yet confirmed live.
analyst_price_targets,analyst_revisions,needs_live_verification,11,True,needs_live_verification: stable endpoint name NOT certain; entitlement unknown - probe live and record 200/empty/403/404 before relying on it.,planned,publishedDate is the availability timestamp; as-of join; never back-date a later target onto an earlier scoring date. Stable equivalent (/stable/price-target-summary or -news) NOT yet confirmed live.
sp500_constituents,universe_mapping,stable_confirmed,12,False,stable_confirmed: current /stable API path known; assume entitled but verify on the first live call.,planned,Current list is NOT point-in-time; the companion historical constituents endpoint (add/drop dates) is what removes survivorship - collect that to build PIT membership.
