check,value,passed,detail
api_key_read_from_env_only,FMP_API_KEY,True,key is read solely from the FMP_API_KEY environment variable
api_key_present_in_env,True,,informational: whether a key is currently set (not a pass/fail)
api_key_logged,False,True,the key is never printed to stdout/stderr or written to any artifact
api_key_hardcoded,False,True,no API key is hard-coded anywhere in the runner or adapter
api_key_written_to_disk,False,True,the key value is never persisted to any file
urls_redacted_in_artifacts,True,True,every persisted URL strips the key parameter and shows the <API_KEY_REDACTED> placeholder
live_requires_explicit_flag_key_and_limits,True,True,"a network call needs --live, a present FMP_API_KEY, AND bounded request limits"
paid_data_gitignored,True,True,"research/data/fmp/{raw,normalized} are git-ignored; paid payloads never committed"
raw_payloads_not_in_committed_artifacts,True,True,"committed artifacts carry only counts / redacted URLs / file paths, never payloads"
no_key_in_output_files,True,True,scanned 6 committed artifact(s); no raw key value and no key parameter marker
dry_run_does_no_network,False,True,the default run performs zero network calls
provider_restricted_to_fmp_host,financialmodelingprep.com,True,live requests are refused for any host other than financialmodelingprep.com
