path,family,point_in_time_status,date_columns,ticker_columns,joinability,leakage_risk,row_count,recommended_use,blocker
D:/Stock_Prediction_app_data/phase2k_g/output/phase2k_g_expanded_price_history_free.csv (D: read-only input),price_history,point_in_time_safe,date,ticker,ticker_date_joinable,low,338169,use_in_phase5e,
research/input/CPIAUCSL.csv,macro,potentially_point_in_time,observation_date,,date_only_joinable,medium,953,use_in_phase5e,"observation_date is the reference-period date, NOT the release date; needs a release/availability lag (Phase 3-R registry applies a release-date or default 21-calendar-day lag) before as-of joining"
research/input/DCOILWTICO.csv,macro,potentially_point_in_time,observation_date,,date_only_joinable,medium,10553,use_in_phase5e,"observation_date is the reference-period date, NOT the release date; needs a release/availability lag (Phase 3-R registry applies a release-date or default 21-calendar-day lag) before as-of joining"
research/input/DTWEXBGS.csv,macro,potentially_point_in_time,observation_date,,date_only_joinable,medium,5335,use_in_phase5e,"observation_date is the reference-period date, NOT the release date; needs a release/availability lag (Phase 3-R registry applies a release-date or default 21-calendar-day lag) before as-of joining"
research/input/FEDFUNDS.csv,macro,potentially_point_in_time,observation_date,,date_only_joinable,medium,863,use_in_phase5e,"observation_date is the reference-period date, NOT the release date; needs a release/availability lag (Phase 3-R registry applies a release-date or default 21-calendar-day lag) before as-of joining"
research/input/fredgraph.csv,macro,potentially_point_in_time,observation_date,,date_only_joinable,medium,16817,use_in_phase5e,"observation_date is the reference-period date, NOT the release date; needs a release/availability lag (Phase 3-R registry applies a release-date or default 21-calendar-day lag) before as-of joining"
research/input/global_assets/manual/manual_global_etf_price_template.csv,global_etf_cross_asset,point_in_time_safe,date,ticker,ticker_date_joinable,low,2,future_collection_needed,daily ETF prices are same-day observable
research/input/macro_cpi_us.csv,macro,potentially_point_in_time,observation_date,,date_only_joinable,medium,953,use_in_phase5e,"observation_date is the reference-period date, NOT the release date; needs a release/availability lag (Phase 3-R registry applies a release-date or default 21-calendar-day lag) before as-of joining"
research/input/macro_dollar_index.csv,macro,potentially_point_in_time,observation_date,,date_only_joinable,medium,5335,use_in_phase5e,"observation_date is the reference-period date, NOT the release date; needs a release/availability lag (Phase 3-R registry applies a release-date or default 21-calendar-day lag) before as-of joining"
research/input/macro_fed_funds.csv,macro,potentially_point_in_time,observation_date,,date_only_joinable,medium,863,use_in_phase5e,"observation_date is the reference-period date, NOT the release date; needs a release/availability lag (Phase 3-R registry applies a release-date or default 21-calendar-day lag) before as-of joining"
research/input/macro_oil_wti.csv,macro,potentially_point_in_time,observation_date,,date_only_joinable,medium,10553,use_in_phase5e,"observation_date is the reference-period date, NOT the release date; needs a release/availability lag (Phase 3-R registry applies a release-date or default 21-calendar-day lag) before as-of joining"
research/input/macro_treasury_yields.csv,macro,potentially_point_in_time,observation_date,,date_only_joinable,medium,16817,use_in_phase5e,"observation_date is the reference-period date, NOT the release date; needs a release/availability lag (Phase 3-R registry applies a release-date or default 21-calendar-day lag) before as-of joining"
research/input/phase2k_g_free_universe_tickers_sample.csv,universe_mapping,not_point_in_time_safe,active_as_of,ticker,ticker_only_joinable,high,15,inspect_manually,current-as-of snapshot (single as_of date in the future of most scoring dates); not point-in-time membership/classification
research/input/phase2k_p_sector_map_current.csv,sector,not_point_in_time_safe,as_of_date,ticker,ticker_only_joinable,high,128,inspect_manually,current-as-of snapshot (single as_of date in the future of most scoring dates); not point-in-time membership/classification
research/output/phase2k_p_sector_map_template.csv,sector,not_point_in_time_safe,as_of_date,ticker,ticker_only_joinable,high,128,inspect_manually,current-as-of snapshot (single as_of date in the future of most scoring dates); not point-in-time membership/classification
