experiment_id,cycle,category,owning_agent,family,hypothesis,score_key,quantile,gate_key,scope,success_gate,stop_condition,challenges
C1F01,1,CONFIRM,volatility-liquidity-agent,low_volatility,Confirm 8-B lead downside_vol (top_quintile) on broad survivorship-aware universe,downside_vol,top_quintile,,full,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,
C1F02,1,CONFIRM,volatility-liquidity-agent,low_volatility,Confirm 8-B lead downside_vol (top_decile) on broad survivorship-aware universe,downside_vol,top_decile,,full,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,
C1F03,1,CONFIRM,volatility-liquidity-agent,low_volatility,Confirm 8-B lead low_vol (top_quintile) on broad survivorship-aware universe,low_vol,top_quintile,,full,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,
C1F04,1,CONFIRM,volatility-liquidity-agent,low_volatility,Confirm 8-B lead low_vol (top_decile) on broad survivorship-aware universe,low_vol,top_decile,,full,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,
C1F05,1,CONFIRM,momentum-signal-agent,volatility_adjusted_momentum,Confirm 8-B lead vol_adj_mom (top_quintile) on broad survivorship-aware universe,vol_adj_mom,top_quintile,,full,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,
C1F06,1,CONFIRM,momentum-signal-agent,volatility_adjusted_momentum,Confirm 8-B lead vol_adj_mom (top_decile) on broad survivorship-aware universe,vol_adj_mom,top_decile,,full,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,
C1F07,1,SCAN,momentum-signal-agent,momentum,Scan family momentum via mom_12_1 (top_quintile) on broad universe,mom_12_1,top_quintile,,full,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,
C1F08,1,SCAN,momentum-signal-agent,momentum,Scan family momentum via mom_6_1 (top_quintile) on broad universe,mom_6_1,top_quintile,,full,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,
C1F09,1,NON_MOMENTUM,reversal-signal-agent,short_term_reversal,Scan family short_term_reversal via rev_losers (top_quintile) on broad universe,rev_losers,top_quintile,,full,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,
C1F10,1,NON_MOMENTUM,trend-breadth-signal-agent,trend_breadth,Scan family trend_breadth via trend_score (top_quintile) on broad universe,trend_score,top_quintile,,full,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,
C1F11,1,NON_MOMENTUM,trend-breadth-signal-agent,trend_breadth,Scan family trend_breadth via trend_ma12 (top_quintile) on broad universe,trend_ma12,top_quintile,,full,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,
C1F12,1,NON_MOMENTUM,volatility-liquidity-agent,liquidity_turnover,Scan family liquidity_turnover via illiquidity (top_quintile) on broad universe,illiquidity,top_quintile,,full,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,
C1F13,1,NON_MOMENTUM,volatility-liquidity-agent,liquidity_turnover,Scan family liquidity_turnover via high_liquidity (top_quintile) on broad universe,high_liquidity,top_quintile,,full,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,
C1F14,1,NON_MOMENTUM,trend-breadth-signal-agent,sector_relative,Scan family sector_relative via sector_rel_mom (top_quintile) on broad universe,sector_rel_mom,top_quintile,,full,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,
C1F15,1,NON_MOMENTUM,trend-breadth-signal-agent,market_relative,Scan family market_relative via rel_strength (top_quintile) on broad universe,rel_strength,top_quintile,,full,CONFIRMED_SIGNAL gate,REJECTED if loses to SPY recently,
C1X_downside_vol.H1990,1,CHALLENGE,validation-skeptic-agent,low_volatility,DISPROVE: does downside_vol top_quintile beat SPY in 1990-2004?,downside_vol,top_quintile,,holdout:1990-2004,net Sharpe in 1990-2004 > SPY,report regardless,C1X_downside_vol
C1X_downside_vol.H2005,1,CHALLENGE,validation-skeptic-agent,low_volatility,DISPROVE: does downside_vol top_quintile beat SPY in 2005-2014?,downside_vol,top_quintile,,holdout:2005-2014,net Sharpe in 2005-2014 > SPY,report regardless,C1X_downside_vol
C1X_downside_vol.H2015,1,CHALLENGE,validation-skeptic-agent,low_volatility,DISPROVE: does downside_vol top_quintile beat SPY in 2015-2026?,downside_vol,top_quintile,,holdout:2015-2026,net Sharpe in 2015-2026 > SPY,report regardless,C1X_downside_vol
C1X_downside_vol.C50,1,CHALLENGE,validation-skeptic-agent,low_volatility,DISPROVE: is downside_vol top_quintile still net-positive at 50bps?,downside_vol,top_quintile,,cost@50bps,net Sharpe@50bps > 0,report regardless,C1X_downside_vol
C1X_downside_vol.C100,1,CHALLENGE,validation-skeptic-agent,low_volatility,DISPROVE: is downside_vol top_quintile still net-positive at 100bps?,downside_vol,top_quintile,,cost@100bps,net Sharpe@100bps > 0,report regardless,C1X_downside_vol
C1X_low_vol.H1990,1,CHALLENGE,validation-skeptic-agent,low_volatility,DISPROVE: does low_vol top_quintile beat SPY in 1990-2004?,low_vol,top_quintile,,holdout:1990-2004,net Sharpe in 1990-2004 > SPY,report regardless,C1X_low_vol
C1X_low_vol.H2005,1,CHALLENGE,validation-skeptic-agent,low_volatility,DISPROVE: does low_vol top_quintile beat SPY in 2005-2014?,low_vol,top_quintile,,holdout:2005-2014,net Sharpe in 2005-2014 > SPY,report regardless,C1X_low_vol
C1X_low_vol.H2015,1,CHALLENGE,validation-skeptic-agent,low_volatility,DISPROVE: does low_vol top_quintile beat SPY in 2015-2026?,low_vol,top_quintile,,holdout:2015-2026,net Sharpe in 2015-2026 > SPY,report regardless,C1X_low_vol
C1X_low_vol.C50,1,CHALLENGE,validation-skeptic-agent,low_volatility,DISPROVE: is low_vol top_quintile still net-positive at 50bps?,low_vol,top_quintile,,cost@50bps,net Sharpe@50bps > 0,report regardless,C1X_low_vol
C1X_low_vol.C100,1,CHALLENGE,validation-skeptic-agent,low_volatility,DISPROVE: is low_vol top_quintile still net-positive at 100bps?,low_vol,top_quintile,,cost@100bps,net Sharpe@100bps > 0,report regardless,C1X_low_vol
C1X_vol_adj_mom.H1990,1,CHALLENGE,validation-skeptic-agent,volatility_adjusted_momentum,DISPROVE: does vol_adj_mom top_quintile beat SPY in 1990-2004?,vol_adj_mom,top_quintile,,holdout:1990-2004,net Sharpe in 1990-2004 > SPY,report regardless,C1X_vol_adj_mom
C1X_vol_adj_mom.H2005,1,CHALLENGE,validation-skeptic-agent,volatility_adjusted_momentum,DISPROVE: does vol_adj_mom top_quintile beat SPY in 2005-2014?,vol_adj_mom,top_quintile,,holdout:2005-2014,net Sharpe in 2005-2014 > SPY,report regardless,C1X_vol_adj_mom
C1X_vol_adj_mom.H2015,1,CHALLENGE,validation-skeptic-agent,volatility_adjusted_momentum,DISPROVE: does vol_adj_mom top_quintile beat SPY in 2015-2026?,vol_adj_mom,top_quintile,,holdout:2015-2026,net Sharpe in 2015-2026 > SPY,report regardless,C1X_vol_adj_mom
C1X_vol_adj_mom.C50,1,CHALLENGE,validation-skeptic-agent,volatility_adjusted_momentum,DISPROVE: is vol_adj_mom top_quintile still net-positive at 50bps?,vol_adj_mom,top_quintile,,cost@50bps,net Sharpe@50bps > 0,report regardless,C1X_vol_adj_mom
C1X_vol_adj_mom.C100,1,CHALLENGE,validation-skeptic-agent,volatility_adjusted_momentum,DISPROVE: is vol_adj_mom top_quintile still net-positive at 100bps?,vol_adj_mom,top_quintile,,cost@100bps,net Sharpe@100bps > 0,report regardless,C1X_vol_adj_mom
