ticker,asset_class,target_filename,required_columns,acceptable_sources,notes
SPY,us_equity,SPY.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,S&P 500 broad-market risk-on/off anchor [needs file]
QQQ,us_equity,QQQ.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,Nasdaq-100 growth/tech beta [needs file]
IWM,us_equity,IWM.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,Russell 2000 small-cap breadth [needs file]
EFA,intl_dev_equity,EFA.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,Developed ex-US equity (EAFE) [needs file]
EEM,intl_em_equity,EEM.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,Emerging-market equity risk appetite [needs file]
VGK,intl_dev_equity,VGK.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,European developed equity [needs file]
EWJ,intl_dev_equity,EWJ.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,Japanese equity [needs file]
FXI,intl_em_equity,FXI.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,China large-cap equity [needs file]
SHY,rates,SHY.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,1-3y US Treasury (front-end / cash proxy) [needs file]
IEF,rates,IEF.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,7-10y US Treasury (intermediate duration) [needs file]
TLT,rates,TLT.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,20y+ US Treasury (long duration) [needs file]
TIP,rates,TIP.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,Inflation-protected Treasury (breakeven proxy) [needs file]
LQD,credit,LQD.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,Investment-grade corporate credit [needs file]
HYG,credit,HYG.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,High-yield corporate credit (risk appetite) [needs file]
GLD,commodity,GLD.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,Gold (inflation / safe-haven) [needs file]
SLV,commodity,SLV.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,Silver (inflation / industrial) [needs file]
DBC,commodity,DBC.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,Broad commodity basket [needs file]
USO,commodity,USO.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,WTI crude oil (energy / inflation) [needs file]
UUP,currency,UUP.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,US dollar index (global liquidity) [needs file]
FXE,currency,FXE.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,Euro currency [needs file]
FXY,currency,FXY.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,Japanese yen (funding currency / risk-off) [needs file]
VIXY,volatility,VIXY.csv,"date,open,high,low,close,adjusted_close,volume",browser-downloaded CSV from a legitimate historical price page; broker export; data-vendor export already available to you,Short-term VIX futures (volatility regime / shock) [needs file]
