file,clean,keyed_url_marker,key_value_present
challenger_bottom25_avoid_list.csv,True,none,False
challenger_full_ranked_universe.csv,True,none,False
challenger_go_no_go_scorecard.csv,True,none,False
challenger_paper_portfolio_top25.csv,True,none,False
challenger_paper_portfolio_top50.csv,True,none,False
challenger_price_coverage.csv,True,none,False
challenger_provenance_manifest.csv,True,none,False
challenger_risk_limits.csv,True,none,False
challenger_sector_exposure.csv,True,none,False
challenger_top25_candidates.csv,True,none,False
challenger_top50_candidates.csv,True,none,False
challenger_tracking_template.csv,True,none,False
phase17b_sector_repaired_challenger_package.json,True,none,False
secret_safety_audit.csv,True,none,False
