ticker,side,target_weight,repaired_sector,signal_composite_sn_repaired,signal_date,price_source,has_local_price,order_action,review_status,live_weight_status
PLTR,LONG,0.02,Information Technology,1.852383,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
DVN,LONG,0.02,Energy,1.848652,2026-05-22,EODHD_LOCAL_EOD(owned),True,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
RMD,LONG,0.02,Health Care,1.84309,2026-05-22,EODHD_LOCAL_EOD(owned),True,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
MO,LONG,0.02,Consumer Staples,1.710402,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
ITW,LONG,0.02,Industrials,1.708209,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
JKHY,LONG,0.02,Financials,1.668144,2026-05-22,EODHD_LOCAL_EOD(owned),True,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
SYK,LONG,0.02,Health Care,1.495396,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
XYZ,LONG,0.02,Industrials,1.485561,2026-05-22,EODHD_LOCAL_EOD(owned),True,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
SMFG,LONG,0.02,Financials,1.448795,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
HST,LONG,0.02,Real Estate,1.405509,2026-05-22,EODHD_LOCAL_EOD(owned),True,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
VRTX,LONG,0.02,Health Care,1.359825,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
IDXX,LONG,0.02,Health Care,1.345304,2026-05-22,EODHD_LOCAL_EOD(owned),True,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
MNST,LONG,0.02,Consumer Staples,1.294848,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
MCK,LONG,0.02,Health Care,1.293839,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
IT,LONG,0.02,Information Technology,1.21754,2026-05-22,EODHD_LOCAL_EOD(owned),True,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
NBIS,LONG,0.02,Information Technology,1.188448,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
MUFG,LONG,0.02,Financials,1.146798,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
AAPL,LONG,0.02,Information Technology,1.088566,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
CAH,LONG,0.02,Health Care,1.071115,2026-05-22,EODHD_LOCAL_EOD(owned),True,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
FTNT,LONG,0.02,Information Technology,1.031774,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
MA,LONG,0.02,Financials,1.030063,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
CAT,LONG,0.02,Industrials,0.997221,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
RSG,LONG,0.02,Industrials,0.959091,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
ALB,LONG,0.02,Materials,0.946707,2026-05-22,EODHD_LOCAL_EOD(owned),True,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
LH,LONG,0.02,Health Care,0.93814,2026-05-22,EODHD_LOCAL_EOD(owned),True,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
GILD,LONG,0.02,Health Care,0.923154,2026-05-22,EODHD_LOCAL_EOD(owned),False,NO_ORDER,PAPER_REVIEW_ONLY,NO_LIVE_WEIGHTS
