ticker,scoreable_before,newly_scoreable,price_acquired_this_run,fundamentals_acquired_this_run
A,False,True,True,True
AAPL,True,False,False,False
ABBV,True,False,False,False
ABNB,True,False,False,False
ABT,True,False,False,False
ACGL,False,True,True,True
ACN,True,False,False,False
ADBE,True,False,False,False
ADI,True,False,False,False
ADM,False,True,True,True
ADP,True,False,False,False
ADSK,False,True,True,True
AEE,False,True,True,True
AEM,True,False,False,False
AEP,True,False,False,False
AES,False,True,True,True
AFL,True,False,False,False
AIG,False,True,True,True
AIZ,False,True,True,True
AJG,False,True,True,True
AKAM,False,True,True,True
ALAB,True,False,False,False
ALB,False,True,True,True
ALGN,False,True,True,True
ALL,False,True,True,True
ALLE,False,True,True,True
AMAT,True,False,False,False
AMCR,False,True,True,True
AMD,True,False,False,False
AME,False,True,True,True
AMGN,True,False,False,False
AMP,False,True,True,True
AMT,True,False,False,False
AMX,True,False,False,False
AMZN,True,False,False,False
ANET,True,False,False,False
AON,True,False,False,False
AOS,False,True,True,True
APA,False,True,True,True
APD,True,False,False,False
APH,True,False,False,False
APO,True,False,False,False
APP,True,False,False,False
APTV,False,True,True,True
ARE,False,True,True,True
ARES,False,True,True,True
ARM,True,False,False,False
ASML,True,False,False,False
ASX,True,False,False,False
ATEYY,True,False,False,False
ATO,False,True,True,True
AVB,False,True,True,True
AVGO,True,False,False,False
AVY,False,True,True,True
AWK,False,True,True,True
AXON,False,True,True,True
AXP,True,False,False,False
AZN,True,False,False,False
AZO,False,True,True,True
B,True,False,False,False
BA,True,False,False,False
BABA,True,False,False,False
BAC,True,False,False,False
BAESY,True,False,False,False
BALL,False,True,True,True
BAM,True,False,False,False
BAX,False,True,True,True
BBVA,True,False,False,False
BBY,False,True,True,True
BCS,True,False,False,False
BDX,False,True,True,True
BE,True,False,False,False
BEN,False,True,True,True
BG,False,True,True,True
BHP,True,False,False,False
BIIB,False,True,True,True
BKNG,True,False,False,False
BKR,True,False,False,False
BLDR,False,True,True,True
BLK,True,False,False,False
BMO,True,False,False,False
BMY,True,False,False,False
BN,True,False,False,False
BNS,True,False,False,False
BNY,True,False,False,False
BP,True,False,False,False
BR,False,True,True,True
