ticker,asset_class,required_fields,min_history_start,required_frequency,point_in_time_rule,priority,why_needed,acceptable_local_file_format
QQQ,us_equity,ticker;date;adjusted_open;adjusted_high;adjusted_low;adjusted_close;volume,2016-01-04,daily,split/dividend-adjusted close as-of the trade date; corporate actions pre-adjusted; no lookahead,1,us_equity proxy (us_large_cap_growth) feeding the equity_risk_appetite_growth cross-asset feature family,"local CSV with the same schema as the existing price panel: ticker,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume"
IWM,us_equity,ticker;date;adjusted_open;adjusted_high;adjusted_low;adjusted_close;volume,2016-01-04,daily,split/dividend-adjusted close as-of the trade date; corporate actions pre-adjusted; no lookahead,1,us_equity proxy (us_small_cap) feeding the equity_risk_appetite_breadth cross-asset feature family,"local CSV with the same schema as the existing price panel: ticker,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume"
EFA,intl_dev_equity,ticker;date;adjusted_open;adjusted_high;adjusted_low;adjusted_close;volume,2016-01-04,daily,split/dividend-adjusted close as-of the trade date; corporate actions pre-adjusted; no lookahead,2,intl_dev_equity proxy (developed_intl_equity) feeding the global_equity_breadth cross-asset feature family,"local CSV with the same schema as the existing price panel: ticker,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume"
EEM,intl_em_equity,ticker;date;adjusted_open;adjusted_high;adjusted_low;adjusted_close;volume,2016-01-04,daily,split/dividend-adjusted close as-of the trade date; corporate actions pre-adjusted; no lookahead,2,intl_em_equity proxy (emerging_market_equity) feeding the global_equity_breadth cross-asset feature family,"local CSV with the same schema as the existing price panel: ticker,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume"
VGK,intl_dev_equity,ticker;date;adjusted_open;adjusted_high;adjusted_low;adjusted_close;volume,2016-01-04,daily,split/dividend-adjusted close as-of the trade date; corporate actions pre-adjusted; no lookahead,2,intl_dev_equity proxy (european_equity) feeding the global_equity_breadth cross-asset feature family,"local CSV with the same schema as the existing price panel: ticker,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume"
EWJ,intl_dev_equity,ticker;date;adjusted_open;adjusted_high;adjusted_low;adjusted_close;volume,2016-01-04,daily,split/dividend-adjusted close as-of the trade date; corporate actions pre-adjusted; no lookahead,2,intl_dev_equity proxy (japanese_equity) feeding the global_equity_breadth cross-asset feature family,"local CSV with the same schema as the existing price panel: ticker,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume"
FXI,intl_em_equity,ticker;date;adjusted_open;adjusted_high;adjusted_low;adjusted_close;volume,2016-01-04,daily,split/dividend-adjusted close as-of the trade date; corporate actions pre-adjusted; no lookahead,2,intl_em_equity proxy (china_large_cap_equity) feeding the global_equity_breadth cross-asset feature family,"local CSV with the same schema as the existing price panel: ticker,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume"
SHY,rates,ticker;date;adjusted_open;adjusted_high;adjusted_low;adjusted_close;volume,2016-01-04,daily,split/dividend-adjusted close as-of the trade date; corporate actions pre-adjusted; no lookahead,1,rates proxy (ust_1_3y) feeding the rates_duration_regime_short cross-asset feature family,"local CSV with the same schema as the existing price panel: ticker,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume"
IEF,rates,ticker;date;adjusted_open;adjusted_high;adjusted_low;adjusted_close;volume,2016-01-04,daily,split/dividend-adjusted close as-of the trade date; corporate actions pre-adjusted; no lookahead,1,rates proxy (ust_7_10y) feeding the rates_duration_regime_intermediate cross-asset feature family,"local CSV with the same schema as the existing price panel: ticker,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume"
TLT,rates,ticker;date;adjusted_open;adjusted_high;adjusted_low;adjusted_close;volume,2016-01-04,daily,split/dividend-adjusted close as-of the trade date; corporate actions pre-adjusted; no lookahead,1,rates proxy (ust_20y_plus) feeding the rates_duration_regime_long cross-asset feature family,"local CSV with the same schema as the existing price panel: ticker,date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume"
