feature_family,feature_name,required_tickers,description,expected_impact,point_in_time_safe,dependency,implementation_status
equity_risk_appetite,us_equity_trend,SPY;QQQ;IWM,"Multi-horizon (20/60/120d) price momentum across large-, growth-, and small-cap US equity to gauge equity risk appetite.",HIGH,True,"local daily price history for: SPY, QQQ, IWM",PARTIAL_NEEDS_PRICE_DATA
equity_risk_appetite,us_equity_realized_vol,SPY;QQQ;IWM,Trailing realized volatility of the core US equity proxies (risk regime).,MEDIUM_HIGH,True,"local daily price history for: SPY, QQQ, IWM",PARTIAL_NEEDS_PRICE_DATA
global_equity_breadth,intl_vs_us_relative_strength,SPY;EFA;EEM;VGK;EWJ;FXI,Relative strength of international (developed + emerging) equity versus US equity.,MEDIUM,True,"local daily price history for: SPY, EFA, EEM, VGK, EWJ, FXI",PARTIAL_NEEDS_PRICE_DATA
global_equity_breadth,emerging_vs_developed_spread,EEM;EFA,Emerging-minus-developed return spread as a global risk-appetite proxy.,MEDIUM,True,"local daily price history for: EEM, EFA",BLOCKED_NEEDS_PRICE_DATA
rates_duration_regime,treasury_duration_returns,SHY;IEF;TLT,Front/intermediate/long Treasury returns to characterise the duration / curve regime.,MEDIUM_HIGH,True,"local daily price history for: SHY, IEF, TLT",BLOCKED_NEEDS_PRICE_DATA
rates_duration_regime,breakeven_inflation_proxy,TIP;IEF,TIP-versus-nominal Treasury spread as a market inflation-breakeven proxy.,MEDIUM,True,"local daily price history for: TIP, IEF",BLOCKED_NEEDS_PRICE_DATA
credit_risk,hy_minus_ig_spread_proxy,HYG;LQD,High-yield minus investment-grade return spread as a credit risk-on/off proxy.,HIGH,True,"local daily price history for: HYG, LQD",BLOCKED_NEEDS_PRICE_DATA
commodity_inflation,commodity_momentum,GLD;SLV;DBC;USO,"Cross-commodity momentum (metals, broad basket, energy) for the inflation impulse.",MEDIUM,True,"local daily price history for: GLD, SLV, DBC, USO",BLOCKED_NEEDS_PRICE_DATA
commodity_inflation,gold_oil_ratio,GLD;USO,Gold/oil ratio as a growth-versus-inflation / safe-haven signal.,MEDIUM,True,"local daily price history for: GLD, USO",BLOCKED_NEEDS_PRICE_DATA
dollar_liquidity,dollar_trend,UUP;FXE;FXY,US-dollar trend versus euro and yen as a global-liquidity tightening/easing proxy.,MEDIUM_HIGH,True,"local daily price history for: UUP, FXE, FXY",BLOCKED_NEEDS_PRICE_DATA
volatility_risk,vix_trend_and_shock,VIXY,Short-term VIX-futures trend and shock indicators for the volatility regime.,HIGH,True,local daily price history for: VIXY,BLOCKED_NEEDS_PRICE_DATA
cross_asset_regime,risk_on_off_composite,SPY;HYG;LQD;TLT;GLD;UUP;VIXY,"Combined cross-asset risk-on/risk-off flag from equity, credit, rates, gold, dollar, and volatility.",HIGH,True,"local daily price history for: SPY, HYG, LQD, TLT, GLD, UUP, VIXY",PARTIAL_NEEDS_PRICE_DATA
