endpoint_name,alpha_family,point_in_time_status,point_in_time_date_field,availability_basis,leakage_risk,join_method,notes
company_profile,universe_mapping,not_point_in_time_safe,,current-as-of profile snapshot; no history,high,ticker + date as-of join,Current-as-of snapshot (no history) - NOT point-in-time membership; use only for caveated static sector mapping.
income_statement_quarterly,fundamentals,point_in_time_safe,fillingDate,fillingDate / acceptedDate gives filing availability,low,ticker + date as-of join,"Use fillingDate/acceptedDate (filing availability), NEVER the fiscal period 'date'; as-of join latest filing on/before scoring date."
balance_sheet_statement_quarterly,fundamentals,point_in_time_safe,fillingDate,fillingDate / acceptedDate gives filing availability,low,ticker + date as-of join,"Use fillingDate/acceptedDate (filing availability), never fiscal period 'date'; as-of join."
cash_flow_statement_quarterly,fundamentals,point_in_time_safe,fillingDate,fillingDate / acceptedDate gives filing availability,low,ticker + date as-of join,Use fillingDate/acceptedDate; never fiscal period 'date'; as-of join.
key_metrics_quarterly,fundamentals,potentially_point_in_time,date,period 'date' only; lag to the statement filing availability,medium,ticker + date as-of join,Period 'date' only (no filing date on this endpoint) - must be lagged to the corresponding statement filing availability before joining.
ratios_quarterly,fundamentals,potentially_point_in_time,date,period 'date' only; lag to the statement filing availability,medium,ticker + date as-of join,Period 'date' only - lag to the statement filing availability before joining (same caveat as key_metrics).
earnings_calendar,earnings,point_in_time_safe,date,announcement 'date' is the availability date,low,ticker + date as-of join,Announcement 'date' is the availability date; as-of join the latest announced event on/before the scoring date. STABLE ENDPOINT NAME (/stable/earnings) not yet confirmed live on this plan.
earnings_surprises,earnings,point_in_time_safe,date,reporting 'date' is the availability date,low,ticker + date as-of join,Reporting 'date' is availability; as-of join; flag restatements. In the stable API surprises appear to be folded into /stable/earnings (actual vs estimated EPS) - endpoint shape NOT yet confirmed live.
analyst_estimates,analyst_revisions,potentially_point_in_time,date,consensus snapshot; needs successive snapshots for true revision PIT,medium,ticker + date as-of join,Snapshot consensus per 'date'; true revision PIT needs successive snapshots (capture publication date; do not back-date a current consensus onto past scoring dates). STABLE NAME/period not yet confirmed live.
analyst_recommendations,analyst_revisions,point_in_time_safe,date,each grade carries its publication 'date',low,ticker + date as-of join,Each grade carries its 'date'; as-of join the latest grade on/before the scoring date. Stable equivalent (/stable/grades or /stable/grades-consensus) NOT yet confirmed live.
analyst_price_targets,analyst_revisions,point_in_time_safe,publishedDate,publishedDate is the availability timestamp,low,ticker + date as-of join,publishedDate is the availability timestamp; as-of join; never back-date a later target onto an earlier scoring date. Stable equivalent (/stable/price-target-summary or -news) NOT yet confirmed live.
sp500_constituents,universe_mapping,not_point_in_time_safe,dateFirstAdded,current membership list; use the historical add/drop endpoint for PIT,high,static / date-only join,Current list is NOT point-in-time; the companion historical constituents endpoint (add/drop dates) is what removes survivorship - collect that to build PIT membership.
