ticker,fmp_covered,alphavantage_covered,combined_covered,newly_covered_by_alphavantage
AAPL,True,False,True,False
ABBV,True,False,True,False
ABT,False,True,True,True
ACN,False,False,False,False
ADBE,True,False,True,False
ADI,False,False,False,False
ADP,False,False,False,False
AMAT,False,False,False,False
AMD,True,False,True,False
AMGN,False,False,False,False
AMZN,True,False,True,False
AON,False,False,False,False
APD,False,False,False,False
APH,False,False,False,False
JPM,True,False,True,False
MSFT,True,False,True,False
NVDA,True,False,True,False
