wave_index,wave_id,generated_from,active_focus,data_families_targeted,hypothesis_bank_id,experiments_generated,experiments_scored,stop_reason,next_wave_reason
0,WAVE_PHASE8K_STATE_REBUILD,self_refill_director,"rebuild the 8-K clean macro leads (S8E-011 anchor, sector-leadership, earnings-confirmed F20) on the fixed 8-E gate for continuity",macro_cross_asset_context;liquidity_volume_volatility_positioning,BANK-00-WAVE_PHASE8K_STATE_REBUILD,8,8,BANK_SCORED,leads anchored; audit every missing data family next
1,WAVE_MISSING_DATA_FAMILY_AUDIT,self_refill_director,resolve all 14 data families to a concrete status (no vague entries),broad_earnings_surprise;analyst_estimates_revisions;historical_news_sentiment,BANK-01-WAVE_MISSING_DATA_FAMILY_AUDIT,0,0,ANALYSIS_ONLY,families classified; inspect local caches for each next
2,WAVE_LOCAL_CACHE_DISCOVERY,self_refill_director,"inventory local caches on disk (earnings, filings, Norgate panel, FRED)",broad_earnings_surprise;sec_filings_event_classification;macro_cross_asset_context,BANK-02-WAVE_LOCAL_CACHE_DISCOVERY,0,0,ANALYSIS_ONLY,local caches mapped; attempt free/no-key activation next
3,WAVE_FREE_NO_KEY_ACTIVATION,self_refill_director,attempt SEC EDGAR / GDELT / FINRA free no-key sources; record outcomes honestly,sec_filings_event_classification;historical_news_sentiment;short_interest_borrow_utilization,BANK-03-WAVE_FREE_NO_KEY_ACTIVATION,0,0,ANALYSIS_ONLY,free sources exhausted; detect existing provider keys next
4,WAVE_PROVIDER_KEY_ACTIVATION,self_refill_director,detect provider env vars by name/presence only (never read values),broad_earnings_surprise;analyst_estimates_revisions,BANK-04-WAVE_PROVIDER_KEY_ACTIVATION,0,0,ANALYSIS_ONLY,keys inventoried; rank the smallest unlocking provider set next
5,WAVE_PROVIDER_SUBSCRIPTION_RANKING,self_refill_director,rank the smallest provider set that unlocks the most high-value families,broad_earnings_surprise;analyst_estimates_revisions;historical_news_sentiment,BANK-05-WAVE_PROVIDER_SUBSCRIPTION_RANKING,0,0,ANALYSIS_ONLY,ranking ready; commit the earnings/analyst provider decision next
6,WAVE_EARNINGS_ANALYST_PROVIDER_DECISION,self_refill_director,test earnings-confirmed candidates AND decide the earnings/analyst provider (FMP),broad_earnings_surprise;analyst_estimates_revisions,BANK-06-WAVE_EARNINGS_ANALYST_PROVIDER_DECISION,8,8,BANK_SCORED,earnings/analyst decided; decide the news/sentiment provider next
7,WAVE_NEWS_SENTIMENT_PROVIDER_DECISION,self_refill_director,exhaust GDELT free window; decide the deep-history news/sentiment provider,historical_news_sentiment,BANK-07-WAVE_NEWS_SENTIMENT_PROVIDER_DECISION,0,0,PROVIDER_REQUIREMENT_LOGGED,"news decided (GDELT first, paid for history); decide options next"
8,WAVE_OPTIONS_IV_SKEW_PROVIDER_DECISION,self_refill_director,no local options data; decide the IV/skew provider (only if a signal needs it),options_iv_skew_putcall_unusual_activity,BANK-08-WAVE_OPTIONS_IV_SKEW_PROVIDER_DECISION,0,0,PROVIDER_REQUIREMENT_LOGGED,options deferred unless a candidate needs IV/skew; activate FINRA short next
9,WAVE_SHORT_INTEREST_BORROW_ACTIVATION,self_refill_director,attempt FINRA free short interest before any paid short/borrow source,short_interest_borrow_utilization,BANK-09-WAVE_SHORT_INTEREST_BORROW_ACTIVATION,0,0,PROVIDER_REQUIREMENT_LOGGED,short interest activated/decided; repair tail risk on the best leads next
10,WAVE_TAIL_RISK_REPAIR_SIGNAL_TESTS,self_refill_director,apply fixed beta-tail / vol-quintile / sector-cap filters to repair the clean macro leads (no tuning after scoring),liquidity_volume_volatility_positioning;macro_cross_asset_context,BANK-10-WAVE_TAIL_RISK_REPAIR_SIGNAL_TESTS,8,8,BANK_SCORED,tail filters scored; promote paper-review trade-idea candidates last
11,WAVE_TRADE_IDEA_PROMOTION,self_refill_director,promote promising leads to paper-review-only trade ideas (with trade-ready reason),macro_cross_asset_context;broad_earnings_surprise,BANK-11-WAVE_TRADE_IDEA_PROMOTION,0,0,ANALYSIS_ONLY,all waves complete — terminal on WAVE_BUDGET_EXHAUSTED unless bounded sooner
