exp_id,family,cohort,n_events,worst_decile_mean,avg_mae_20,max_year_fraction,max_sector_fraction,max_ticker_fraction,beats_spy_active,beats_cash_active,tail_gate_pass
S8I-C-LARGE-SECLEAD-10,C_earnings_surprise_x_sensitivity,cohort_sector_lead,290,-0.133751,-0.06645,0.048276,0.213793,0.041379,False,True,False
S8I-R-RATES-20,B_analyst_revision_x_sensitivity,cohort_rates_neg,499,-0.150615,-0.059545,0.062124,0.234469,0.042084,False,True,False
S8I-R-SECLEAD-20,B_analyst_revision_x_sensitivity,cohort_sector_lead,567,-0.17338,-0.069456,0.047619,0.209877,0.040564,False,True,False
S8I-M-OIL-20,F_s8e011_plus_external_confirmation,cohort_oil_pos,1094,-0.160319,-0.063962,0.110603,0.299817,0.018282,False,False,False
S8I-M-USD-20,F_s8e011_plus_external_confirmation,cohort_usd_neg,887,-0.170647,-0.064193,0.116122,0.161218,0.012401,False,True,False
S8I-M-CREDIT-20,F_s8e011_plus_external_confirmation,cohort_credit_sens,1004,-0.213084,-0.087104,0.15239,0.183267,0.01494,False,True,False
S8I-M-VIX-20,F_s8e011_plus_external_confirmation,cohort_vol_spike_sens,24425,-0.226826,-0.08742,0.044585,0.294698,0.007738,False,True,False
S8I-901,C_earnings_surprise_x_sensitivity,,6051,-0.141688,-0.05073,0.035697,0.168732,0.009089,False,True,False
S8I-902,C_earnings_surprise_x_sensitivity,cohort_surprise_sensitive,440,-0.158847,-0.053857,0.054545,0.211364,0.022727,False,True,False
S8I-903,F_s8e011_plus_external_confirmation,,5156,-0.137225,-0.048211,0.107448,0.152056,0.005625,False,True,False
S8I-904,B_analyst_revision_x_sensitivity,,3742,-0.140864,-0.05039,0.038749,0.167825,0.010422,False,True,False
