file,clean,keyed_url_marker,key_value_present
paper_expected_vs_realized_template.csv,True,none,False
paper_exposure_summary.csv,True,none,False
paper_holdings_ledger.csv,True,none,False
paper_liquidity_summary.csv,True,none,False
paper_mark_to_market_plan.csv,True,none,False
paper_mark_to_market_snapshot.csv,True,none,False
paper_sector_exposure.csv,True,none,False
paper_tracker_safety_badges.csv,True,none,False
paper_tracker_status.csv,True,none,False
phase10i_paper_position_tracker.json,True,none,False
phase10j_next_plan.json,True,none,False
secret_safety_audit.csv,True,none,False
