file,clean,keyed_url_marker,key_value_present
bottom25_sector_exposure.csv,True,none,False
latest_month_rank_comparison.csv,True,none,False
original_vs_shadow_comparison.csv,True,none,False
phase16a_sector_integrity_report.json,True,none,False
phase16a_shadow_revalidation_report.json,True,none,False
reproduction_check.csv,True,none,False
sector_metadata_coverage.json,True,none,False
sector_metadata_resolution_attempts.csv,True,none,False
sector_metadata_resolved.csv,True,none,False
sector_metadata_unresolved.csv,True,none,False
subperiod_stability_comparison.csv,True,none,False
top25_sector_exposure.csv,True,none,False
top50_sector_exposure.csv,True,none,False
