ticker,cik,status,rows,fields,origin,note
AAPL,0000320193,CACHED,860,10,cache,
ABBV,0001551152,CACHED,586,9,cache,
ABNB,0001559720,CACHED,260,8,cache,
ABT,0000001800,CACHED,782,9,cache,
ACN,0001467373,CACHED,950,9,cache,
ADBE,0000796343,CACHED,1011,10,cache,
ADI,0000006281,CACHED,751,9,cache,
ADP,0000008670,CACHED,692,7,cache,
AEM,0000002809,CACHED,0,0,cache,
AEP,0000004904,CACHED,896,10,cache,
AFL,0000004977,CACHED,832,8,cache,
ALAB,0001736297,CACHED,149,9,cache,
AMAT,0000006951,CACHED,890,10,cache,
AMD,0000002488,CACHED,730,9,cache,
AMGN,0000318154,CACHED,848,9,cache,
AMT,0001053507,CACHED,898,10,cache,
AMX,0001129137,CACHED,0,0,cache,
AMZN,0001018724,CACHED,792,9,cache,
ANET,0001596532,CACHED,675,10,cache,
AON,0000315293,CACHED,910,10,cache,
APD,0000002969,CACHED,894,10,cache,
APH,0000820313,CACHED,756,10,cache,
APO,0001858681,CACHED,211,7,cache,
APP,0001751008,CACHED,307,10,cache,
ARM,0001973239,CACHED,0,0,cache,
ASML,0000937966,CACHED,0,0,cache,
ASX,0001122411,CACHED,0,0,cache,
ATEYY,0001158838,CACHED,0,0,cache,
AVGO,0001730168,CACHED,378,10,cache,
AXP,0000004962,CACHED,792,10,cache,
AZN,0000901832,CACHED,0,0,cache,
B,0000756894,CACHED,0,0,cache,
BA,0000012927,CACHED,956,10,cache,
BABA,0001577552,CACHED,0,0,cache,
BAC,0000070858,CACHED,667,7,cache,
BAESY,0000895564,SKIPPED_NO_NETWORK,0,0,none,network disabled and no cache present
BAM,0001937926,CACHED,62,6,cache,
BBVA,0000842180,CACHED,0,0,cache,
BCS,0000312069,CACHED,0,0,cache,
BE,0001664703,CACHED,495,10,cache,
BHP,0000811809,CACHED,0,0,cache,
BKNG,0001075531,CACHED,787,10,cache,
BKR,0001701605,CACHED,300,8,cache,
BLK,0002012383,CACHED,114,10,cache,
BMO,0000927971,CACHED,0,0,cache,
BMY,0000014272,CACHED,876,10,cache,
BN,0001001085,CACHED,0,0,cache,
BNS,0000009631,CACHED,0,0,cache,
BNY,0001390777,CACHED,875,9,cache,
BP,0000313807,CACHED,0,0,cache,
BSX,0000885725,CACHED,561,9,cache,
BTI,0001303523,CACHED,0,0,cache,
BUD,0001668717,CACHED,0,0,cache,
BX,0001393818,CACHED,747,9,cache,
C,0000831001,CACHED,801,9,cache,
CAT,0000018230,CACHED,667,9,cache,
CB,0000896159,CACHED,698,7,cache,
CDNS,0000813672,CACHED,722,9,cache,
CEG,0001868275,CACHED,247,10,cache,
CI,0001739940,CACHED,342,10,cache,
CIEN,0000936395,CACHED,839,10,cache,
CL,0000021665,CACHED,785,10,cache,
CM,0001045520,CACHED,0,0,cache,
CMCSA,0001166691,CACHED,886,9,cache,
CME,0001156375,CACHED,1050,10,cache,
CMI,0000026172,CACHED,764,10,cache,
CNI,0000016868,CACHED,0,0,cache,
CNQ,0001017413,CACHED,0,0,cache,
COF,0000927628,CACHED,902,9,cache,
COHR,0000820318,CACHED,864,10,cache,
COP,0001163165,CACHED,651,7,cache,
COST,0000909832,CACHED,1137,10,cache,
CP,0000016875,CACHED,669,10,cache,
CRH,0000849395,CACHED,149,9,cache,
CRM,0001108524,CACHED,1000,10,cache,
CRWD,0001535527,CACHED,362,9,cache,
CSCO,0000858877,CACHED,886,10,cache,
CSX,0000277948,CACHED,955,10,cache,
CTAS,0000723254,CACHED,754,9,cache,
CVNA,0001690820,CACHED,420,10,cache,
CVS,0000064803,CACHED,922,10,cache,
CVX,0000093410,CACHED,677,7,cache,
D,0000715957,CACHED,952,10,cache,
DASH,0001792789,CACHED,347,9,cache,
DB,0001159508,CACHED,0,0,cache,
DDOG,0001561550,CACHED,358,9,cache,
DE,0000315189,CACHED,1006,10,cache,
DELL,0001571996,CACHED,630,10,cache,
DHR,0000313616,CACHED,810,10,cache,
DIS,0001744489,CACHED,367,9,cache,
DLR,0001297996,CACHED,745,8,cache,
DTEGY,0000946770,SKIPPED_NO_NETWORK,0,0,none,network disabled and no cache present
DUK,0001326160,CACHED,812,9,cache,
E,0001002242,CACHED,0,0,cache,
ECL,0000031462,CACHED,897,10,cache,
ELV,0001156039,CACHED,1059,10,cache,
EMR,0000032604,CACHED,704,8,cache,
ENB,0000895728,CACHED,568,10,cache,
EOG,0000821189,CACHED,643,7,cache,
EPD,0001061219,CACHED,632,8,cache,
EQIX,0001101239,CACHED,800,10,cache,
EQNR,0001140625,CACHED,0,0,cache,
ET,0001276187,CACHED,455,5,cache,
ETN,0001551182,CACHED,510,9,cache,
F,0000037996,CACHED,675,8,cache,
FCX,0000831259,CACHED,703,8,cache,
FDX,0001048911,CACHED,695,7,cache,
FIX,0001035983,CACHED,836,10,cache,
FTNT,0001262039,CACHED,704,10,cache,
GD,0000040533,CACHED,709,9,cache,
GE,0000040545,CACHED,1013,10,cache,
GEV,0001996810,CACHED,106,7,cache,
GILD,0000882095,CACHED,751,9,cache,
GLW,0000024741,CACHED,708,8,cache,
GM,0001467858,CACHED,843,10,cache,
GOOGL,0001652044,CACHED,565,10,cache,
GS,0000886982,CACHED,710,8,cache,
GSK,0001131399,CACHED,0,0,cache,
GWW,0000277135,CACHED,790,9,cache,
HCA,0000860730,CACHED,665,9,cache,
HD,0000354950,CACHED,719,8,cache,
HDB,0001144967,CACHED,0,0,cache,
HLT,0001585689,CACHED,697,10,cache,
HON,0000773840,CACHED,712,9,cache,
HOOD,0001783879,CACHED,241,7,cache,
HPE,0001645590,CACHED,434,8,cache,
HSBC,0001089113,CACHED,0,0,cache,
HTHIY,0000047710,CACHED,0,0,cache,
HWM,0000004281,CACHED,876,10,cache,
IBKR,0001381197,CACHED,585,7,cache,
IBM,0000051143,CACHED,728,9,cache,
IBN,0001103838,SKIPPED_NO_NETWORK,0,0,none,network disabled and no cache present
ICE,0001571949,CACHED,719,10,cache,
IFNNY,0001107457,SKIPPED_NO_NETWORK,0,0,none,network disabled and no cache present
IMO,0000049938,CACHED,533,7,cache,
ING,0001039765,CACHED,0,0,cache,
INTC,0000050863,CACHED,692,9,cache,
INTU,0000896878,CACHED,954,10,cache,
ISRG,0001035267,CACHED,805,10,cache,
ITUB,0001132597,CACHED,0,0,cache,
ITW,0000049826,CACHED,571,8,cache,
JCI,0000833444,CACHED,591,8,cache,
JNJ,0000200406,CACHED,718,10,cache,
JPM,0000019617,CACHED,634,7,cache,
KEYS,0001601046,CACHED,555,10,cache,
KKR,0001404912,CACHED,506,8,cache,
