experiment_id,category,owning_agent,family,score_key,quantile,gate,max_pos,scope,challenges,hypothesis,success_gate,stop_condition
MR01,CONFIRM,momentum-signal-agent,momentum,mom_12_1,top_quintile,,0.1,full,EXP02,EXP02 12-1 momentum quintile survives out-of-sample confirmation,net>0 AND beats SPY AND beats EW AND placebo margin>=0.25 AND dd/turnover OK AND >=2/3 sub-periods positive AND recent positive AND net>0 @50bps AND risk gate OK,reject if net<=0 after 25bps OR fails placebo OR <36 periods
MR02,CONFIRM,volatility-liquidity-agent,volatility_liquidity,vol_adj_mom,top_quintile,,0.1,full,EXP11,EXP11 volatility-adjusted momentum quintile survives confirmation,net>0 AND beats SPY AND beats EW AND placebo margin>=0.25 AND dd/turnover OK AND >=2/3 sub-periods positive AND recent positive AND net>0 @50bps AND risk gate OK,reject if net<=0 after 25bps OR fails placebo OR <36 periods
MR03,MOMENTUM_ROBUSTNESS,momentum-signal-agent,momentum,mom_12_1,top_quintile,liq_gate,0.1,full,,12-1 momentum quintile is robust when restricted to liquid names,net>0 AND beats SPY AND beats EW AND placebo margin>=0.25 AND dd/turnover OK AND >=2/3 sub-periods positive AND recent positive AND net>0 @50bps AND risk gate OK,reject if net<=0 after 25bps OR fails placebo OR <36 periods
MR04,MOMENTUM_ROBUSTNESS,volatility-liquidity-agent,volatility_liquidity,vol_adj_mom,top_quintile,liq_gate,0.1,full,,vol-adjusted momentum quintile is robust among liquid names,net>0 AND beats SPY AND beats EW AND placebo margin>=0.25 AND dd/turnover OK AND >=2/3 sub-periods positive AND recent positive AND net>0 @50bps AND risk gate OK,reject if net<=0 after 25bps OR fails placebo OR <36 periods
MR05,MOMENTUM_ROBUSTNESS,momentum-signal-agent,momentum,mom_6_1,top_quintile,,0.1,full,,6-1 momentum quintile is a robust shorter-horizon variant,net>0 AND beats SPY AND beats EW AND placebo margin>=0.25 AND dd/turnover OK AND >=2/3 sub-periods positive AND recent positive AND net>0 @50bps AND risk gate OK,reject if net<=0 after 25bps OR fails placebo OR <36 periods
MR06,MOMENTUM_ROBUSTNESS,trend-breadth-signal-agent,breadth_relative_strength,sector_rel_mom,top_quintile,,0.1,full,,sector-relative (breadth) momentum quintile is robust,net>0 AND beats SPY AND beats EW AND placebo margin>=0.25 AND dd/turnover OK AND >=2/3 sub-periods positive AND recent positive AND net>0 @50bps AND risk gate OK,reject if net<=0 after 25bps OR fails placebo OR <36 periods
NM01,NON_MOMENTUM,volatility-liquidity-agent,low_volatility,low_vol,top_quintile,,0.1,full,,low-volatility anomaly: lowest-vol quintile earns superior risk-adjusted return,net>0 AND beats SPY AND beats EW AND placebo margin>=0.25 AND dd/turnover OK AND >=2/3 sub-periods positive AND recent positive AND net>0 @50bps AND risk gate OK,reject if net<=0 after 25bps OR fails placebo OR <36 periods
NM02,NON_MOMENTUM,volatility-liquidity-agent,low_volatility,low_vol,top_decile,,0.1,full,,low-volatility anomaly concentrates in the lowest-vol decile,net>0 AND beats SPY AND beats EW AND placebo margin>=0.25 AND dd/turnover OK AND >=2/3 sub-periods positive AND recent positive AND net>0 @50bps AND risk gate OK,reject if net<=0 after 25bps OR fails placebo OR <36 periods
NM03,NON_MOMENTUM,reversal-signal-agent,reversal,rev_losers,top_quintile,,0.1,full,,1-month reversal (buy losers) quintile — reassessed on clean data,net>0 AND beats SPY AND beats EW AND placebo margin>=0.25 AND dd/turnover OK AND >=2/3 sub-periods positive AND recent positive AND net>0 @50bps AND risk gate OK,reject if net<=0 after 25bps OR fails placebo OR <36 periods
NM04,NON_MOMENTUM,reversal-signal-agent,reversal,rev_losers,top_decile,,0.1,full,,1-month reversal (buy losers) decile — reassessed on clean data,net>0 AND beats SPY AND beats EW AND placebo margin>=0.25 AND dd/turnover OK AND >=2/3 sub-periods positive AND recent positive AND net>0 @50bps AND risk gate OK,reject if net<=0 after 25bps OR fails placebo OR <36 periods
NM05,NON_MOMENTUM,volatility-liquidity-agent,liquidity,illiquidity,top_quintile,,0.1,full,,illiquidity premium: lowest dollar-volume quintile earns a premium,net>0 AND beats SPY AND beats EW AND placebo margin>=0.25 AND dd/turnover OK AND >=2/3 sub-periods positive AND recent positive AND net>0 @50bps AND risk gate OK,reject if net<=0 after 25bps OR fails placebo OR <36 periods
NM06,NON_MOMENTUM,volatility-liquidity-agent,liquidity,high_liquidity,top_quintile,,0.1,full,,liquidity/large-cap proxy: highest dollar-volume quintile (control),net>0 AND beats SPY AND beats EW AND placebo margin>=0.25 AND dd/turnover OK AND >=2/3 sub-periods positive AND recent positive AND net>0 @50bps AND risk gate OK,reject if net<=0 after 25bps OR fails placebo OR <36 periods
NM07,NON_MOMENTUM,volatility-liquidity-agent,low_volatility,downside_vol,top_quintile,,0.1,full,,low downside-deviation quintile earns superior risk-adjusted return,net>0 AND beats SPY AND beats EW AND placebo margin>=0.25 AND dd/turnover OK AND >=2/3 sub-periods positive AND recent positive AND net>0 @50bps AND risk gate OK,reject if net<=0 after 25bps OR fails placebo OR <36 periods
CH01,CHALLENGE,validation-skeptic-agent,validation,mom_12_1,top_quintile,,0.1,subperiod:1990-2004,EXP02,EXP02 edge persists in holdout 1990-2004,net Sharpe>0 AND beats SPY in the holdout sub-period,flag NON-PERSISTENT if net<=0 or underperforms SPY in the slice
CH02,CHALLENGE,validation-skeptic-agent,validation,mom_12_1,top_quintile,,0.1,subperiod:2005-2014,EXP02,EXP02 edge persists in holdout 2005-2014,net Sharpe>0 AND beats SPY in the holdout sub-period,flag NON-PERSISTENT if net<=0 or underperforms SPY in the slice
CH03,CHALLENGE,validation-skeptic-agent,validation,mom_12_1,top_quintile,,0.1,subperiod:2015-2026,EXP02,EXP02 edge persists in holdout 2015-2026,net Sharpe>0 AND beats SPY in the holdout sub-period,flag NON-PERSISTENT if net<=0 or underperforms SPY in the slice
CH04,CHALLENGE,validation-skeptic-agent,validation,vol_adj_mom,top_quintile,,0.1,subperiod:1990-2004,EXP11,EXP11 edge persists in holdout 1990-2004,net Sharpe>0 AND beats SPY in the holdout sub-period,flag NON-PERSISTENT if net<=0 or underperforms SPY in the slice
CH05,CHALLENGE,validation-skeptic-agent,validation,vol_adj_mom,top_quintile,,0.1,subperiod:2005-2014,EXP11,EXP11 edge persists in holdout 2005-2014,net Sharpe>0 AND beats SPY in the holdout sub-period,flag NON-PERSISTENT if net<=0 or underperforms SPY in the slice
CH06,CHALLENGE,validation-skeptic-agent,validation,vol_adj_mom,top_quintile,,0.1,subperiod:2015-2026,EXP11,EXP11 edge persists in holdout 2015-2026,net Sharpe>0 AND beats SPY in the holdout sub-period,flag NON-PERSISTENT if net<=0 or underperforms SPY in the slice
CH07,CHALLENGE,validation-skeptic-agent,validation,mom_12_1,top_quintile,,0.1,cost@50bps,EXP02,EXP02 edge survives 50bps round-trip costs,net Sharpe>0 at 50bps,flag COST-FRAGILE if net<=0 at 50bps
CH08,CHALLENGE,validation-skeptic-agent,validation,mom_12_1,top_quintile,,0.1,cost@100bps,EXP02,EXP02 edge survives 100bps round-trip costs,net Sharpe>0 at 100bps,flag COST-FRAGILE if net<=0 at 100bps
CH09,CHALLENGE,validation-skeptic-agent,validation,vol_adj_mom,top_quintile,,0.1,cost@50bps,EXP11,EXP11 edge survives 50bps round-trip costs,net Sharpe>0 at 50bps,flag COST-FRAGILE if net<=0 at 50bps
CH10,CHALLENGE,validation-skeptic-agent,validation,vol_adj_mom,top_quintile,,0.1,cost@100bps,EXP11,EXP11 edge survives 100bps round-trip costs,net Sharpe>0 at 100bps,flag COST-FRAGILE if net<=0 at 100bps
RS01,RISK_STRESS,risk-portfolio-agent,risk,mom_12_1,concentrated,,0.1,breadth:concentrated,EXP02,EXP02 is robust to concentration (selection breadth = concentrated),net Sharpe within ~0.20 of base quintile; drawdown within floor,flag CONCENTRATION-DEPENDENT if edge only appears at one breadth
RS02,RISK_STRESS,risk-portfolio-agent,risk,mom_12_1,broad,,0.1,breadth:broad,EXP02,EXP02 is robust to breadth (selection breadth = broad),net Sharpe within ~0.20 of base quintile; drawdown within floor,flag CONCENTRATION-DEPENDENT if edge only appears at one breadth
RS03,RISK_STRESS,risk-portfolio-agent,risk,vol_adj_mom,concentrated,,0.1,breadth:concentrated,EXP11,EXP11 is robust to concentration (selection breadth = concentrated),net Sharpe within ~0.20 of base quintile; drawdown within floor,flag CONCENTRATION-DEPENDENT if edge only appears at one breadth
RS04,RISK_STRESS,risk-portfolio-agent,risk,vol_adj_mom,broad,,0.1,breadth:broad,EXP11,EXP11 is robust to breadth (selection breadth = broad),net Sharpe within ~0.20 of base quintile; drawdown within floor,flag CONCENTRATION-DEPENDENT if edge only appears at one breadth
