experiment_id,category,owning_agent,family,score_key,quantile,gate,max_pos,scope,challenges,status,n_periods,avg_names,one_sided_turnover,net_sharpe_25bps,net_ann_return_25bps,net_max_drawdown_25bps,net_sharpe_50bps,net_sharpe_100bps,spy_sharpe,ew_universe_sharpe,net_sharpe_minus_spy,net_sharpe_minus_ew,placebo_net_sharpe_25bps,net_sharpe_minus_placebo,subperiod_net_sharpe,subperiod_beats_spy,leakage_check,reason
NM05,NON_MOMENTUM,volatility-liquidity-agent,liquidity,illiquidity,top_quintile,,0.1,full,,REJECTED,437,100.33,0.1828,0.62606,0.104355,-0.584794,0.567358,0.450015,0.769587,0.753659,-0.143527,-0.127599,0.427211,0.198849,,,PASS_NO_LOOKAHEAD,underperforms SPY (net Sharpe 0.62606 <= SPY 0.769587)
NM06,NON_MOMENTUM,volatility-liquidity-agent,liquidity,high_liquidity,top_quintile,,0.1,full,,REJECTED,437,100.33,0.1316,0.617957,0.097882,-0.695023,0.573488,0.484528,0.769587,0.753659,-0.15163,-0.135702,0.410815,0.207142,,,PASS_NO_LOOKAHEAD,underperforms SPY (net Sharpe 0.617957 <= SPY 0.769587)
NM07,NON_MOMENTUM,volatility-liquidity-agent,low_volatility,downside_vol,top_quintile,,0.1,full,,WEAK,431,100.29,0.1518,0.864899,0.101441,-0.424169,0.789586,0.638362,0.769587,0.753211,0.095312,0.111688,0.422139,0.44276,,,PASS_NO_LOOKAHEAD,"does not confirm out-of-sample (beats SPY in only 2/3 sub-periods, recent_beats_spy=False, cost_robust_50bps=True)"
CH01,CHALLENGE,validation-skeptic-agent,validation,mom_12_1,top_quintile,,0.1,subperiod:1990-2004,EXP02,DIAGNOSTIC_ONLY,168,100.12,0.247,1.087968,0.17298,-0.271266,,,0.760375,0.953907,,,,,1.087968,True,PASS_NO_LOOKAHEAD,"holdout 1990-2004: PERSISTENT (net Sharpe 1.087968, beats_spy=True)"
CH02,CHALLENGE,validation-skeptic-agent,validation,mom_12_1,top_quintile,,0.1,subperiod:2005-2014,EXP02,DIAGNOSTIC_ONLY,120,100.12,0.247,0.445425,0.063415,-0.523425,,,0.570131,0.611482,,,,,0.445425,False,PASS_NO_LOOKAHEAD,"holdout 2005-2014: NON_PERSISTENT (net Sharpe 0.445425, beats_spy=False)"
CH03,CHALLENGE,validation-skeptic-agent,validation,mom_12_1,top_quintile,,0.1,subperiod:2015-2026,EXP02,DIAGNOSTIC_ONLY,137,100.12,0.247,0.780251,0.116721,-0.197816,,,0.945875,0.724858,,,,,0.780251,False,PASS_NO_LOOKAHEAD,"holdout 2015-2026: NON_PERSISTENT (net Sharpe 0.780251, beats_spy=False)"
CH04,CHALLENGE,validation-skeptic-agent,validation,vol_adj_mom,top_quintile,,0.1,subperiod:1990-2004,EXP11,DIAGNOSTIC_ONLY,168,100.12,0.2455,1.168516,0.167918,-0.202585,,,0.760375,0.953907,,,,,1.168516,True,PASS_NO_LOOKAHEAD,"holdout 1990-2004: PERSISTENT (net Sharpe 1.168516, beats_spy=True)"
CH05,CHALLENGE,validation-skeptic-agent,validation,vol_adj_mom,top_quintile,,0.1,subperiod:2005-2014,EXP11,DIAGNOSTIC_ONLY,120,100.12,0.2455,0.463567,0.060942,-0.520938,,,0.570131,0.611482,,,,,0.463567,False,PASS_NO_LOOKAHEAD,"holdout 2005-2014: NON_PERSISTENT (net Sharpe 0.463567, beats_spy=False)"
CH06,CHALLENGE,validation-skeptic-agent,validation,vol_adj_mom,top_quintile,,0.1,subperiod:2015-2026,EXP11,DIAGNOSTIC_ONLY,137,100.12,0.2455,0.795596,0.114318,-0.198602,,,0.945875,0.724858,,,,,0.795596,False,PASS_NO_LOOKAHEAD,"holdout 2015-2026: NON_PERSISTENT (net Sharpe 0.795596, beats_spy=False)"
CH07,CHALLENGE,validation-skeptic-agent,validation,mom_12_1,top_quintile,,0.1,cost@50bps,EXP02,DIAGNOSTIC_ONLY,425,100.12,0.247,0.798517,,,0.707271,0.524809,0.769587,0.775004,,,,,,,PASS_NO_LOOKAHEAD,cost stress 50bps: net Sharpe 0.707271 -> COST_SURVIVES
CH08,CHALLENGE,validation-skeptic-agent,validation,mom_12_1,top_quintile,,0.1,cost@100bps,EXP02,DIAGNOSTIC_ONLY,425,100.12,0.247,0.798517,,,0.707271,0.524809,0.769587,0.775004,,,,,,,PASS_NO_LOOKAHEAD,cost stress 100bps: net Sharpe 0.524809 -> COST_SURVIVES
CH09,CHALLENGE,validation-skeptic-agent,validation,vol_adj_mom,top_quintile,,0.1,cost@50bps,EXP11,DIAGNOSTIC_ONLY,425,100.12,0.2455,0.838704,,,0.739701,0.541457,0.769587,0.775004,,,,,,,PASS_NO_LOOKAHEAD,cost stress 50bps: net Sharpe 0.739701 -> COST_SURVIVES
CH10,CHALLENGE,validation-skeptic-agent,validation,vol_adj_mom,top_quintile,,0.1,cost@100bps,EXP11,DIAGNOSTIC_ONLY,425,100.12,0.2455,0.838704,,,0.739701,0.541457,0.769587,0.775004,,,,,,,PASS_NO_LOOKAHEAD,cost stress 100bps: net Sharpe 0.541457 -> COST_SURVIVES
RS01,RISK_STRESS,risk-portfolio-agent,risk,mom_12_1,concentrated,,0.1,breadth:concentrated,EXP02,DIAGNOSTIC_ONLY,425,25.24,0.3318,0.710689,0.141612,-0.620281,0.620644,0.440771,0.769587,0.775004,-0.058898,-0.064315,,0.710689,,,PASS_NO_LOOKAHEAD,risk stress cap=0.10: net Sharpe 0.710689 (delta vs base -0.088)
RS02,RISK_STRESS,risk-portfolio-agent,risk,mom_12_1,broad,,0.1,breadth:broad,EXP02,DIAGNOSTIC_ONLY,425,166.54,0.1959,0.830191,0.119568,-0.50035,0.752167,0.595988,0.769587,0.775004,0.060604,0.055187,,0.830191,,,PASS_NO_LOOKAHEAD,risk stress cap=0.10: net Sharpe 0.830191 (delta vs base 0.032)
RS03,RISK_STRESS,risk-portfolio-agent,risk,vol_adj_mom,concentrated,,0.1,breadth:concentrated,EXP11,DIAGNOSTIC_ONLY,425,25.24,0.3549,0.650059,0.109524,-0.563373,0.536425,0.308914,0.769587,0.775004,-0.119528,-0.124945,,0.650059,,,PASS_NO_LOOKAHEAD,risk stress cap=0.10: net Sharpe 0.650059 (delta vs base -0.189)
RS04,RISK_STRESS,risk-portfolio-agent,risk,vol_adj_mom,broad,,0.1,breadth:broad,EXP11,DIAGNOSTIC_ONLY,425,166.54,0.1904,0.876846,0.122932,-0.518076,0.797985,0.640218,0.769587,0.775004,0.107259,0.101842,,0.876846,,,PASS_NO_LOOKAHEAD,risk stress cap=0.10: net Sharpe 0.876846 (delta vs base 0.038)
