ticker,company_name,cik,sector,industry,source,effective_from,effective_to
AAPL,Apple Inc.,0000320193,Information Technology,"Technology Hardware, Storage & Peripherals",SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
ABBV,AbbVie Inc.,0001551152,Health Care,Pharmaceuticals,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
ABT,ABBOTT LABORATORIES,0000001800,Health Care,Health Care Equipment,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
ACN,Accenture plc,0001467373,Information Technology,IT Consulting & Other Services,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
ADBE,ADOBE INC.,0000796343,Information Technology,Application Software,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
ADI,ANALOG DEVICES INC,0000006281,Information Technology,Semiconductors,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
ADP,AUTOMATIC DATA PROCESSING INC,0000008670,Industrials,Human Resource & Employment Services,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
AMAT,APPLIED MATERIALS INC /DE,0000006951,Information Technology,Semiconductor Materials & Equipment,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
AMD,ADVANCED MICRO DEVICES INC,0000002488,Information Technology,Semiconductors,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
AMGN,AMGEN INC,0000318154,Health Care,Biotechnology,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
AMZN,AMAZON COM INC,0001018724,Consumer Discretionary,Broadline Retail,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
AON,Aon plc,0000315293,Financials,Insurance Brokers,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
APD,"Air Products & Chemicals, Inc.",0000002969,Materials,Industrial Gases,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
APH,AMPHENOL CORP /DE/,0000820313,Information Technology,Electronic Components,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
AVGO,Broadcom Inc.,0001730168,Information Technology,Semiconductors,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
AXP,AMERICAN EXPRESS CO,0000004962,Financials,Consumer Finance,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
BA,BOEING CO,0000012927,Industrials,Aerospace & Defense,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
BAC,BANK OF AMERICA CORP /DE/,0000070858,Financials,Diversified Banks,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
BKNG,Booking Holdings Inc.,0001075531,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
BLK,"BlackRock, Inc.",0002012383,Financials,Asset Management & Custody Banks,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
BMY,BRISTOL MYERS SQUIBB CO,0000014272,Health Care,Pharmaceuticals,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
BSX,BOSTON SCIENTIFIC CORP,0000885725,Health Care,Health Care Equipment,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
C,CITIGROUP INC,0000831001,Financials,Diversified Banks,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
CAT,CATERPILLAR INC,0000018230,Industrials,Construction Machinery & Heavy Transportation Equipment,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
CB,Chubb Ltd,0000896159,Financials,Property & Casualty Insurance,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
CDNS,CADENCE DESIGN SYSTEMS INC,0000813672,Information Technology,Application Software,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
CI,Cigna Group,0001739940,Health Care,Health Care Services,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
CL,COLGATE PALMOLIVE CO,0000021665,Consumer Staples,Household Products,SEC EDGAR (public companyfacts + submissions JSON),2026-06-18,
